Name,Country,City,State/Province,Operator,Size (sq ft),Size (MW),Latitude,Longitude,Link,Operational Status,Savings_Per_MW,EJ_Demographic_Index,CO2_Avoided_MT,EJ_Energy_Burden_Pct,Electricity_Price_Used,Composite_Score,Classification,Score_SavingsPerMW,Score_Water,Score_OPEX,Score_Payback,Score_LoadGrowth,Payback_Years,OPEX_Impact_Pct,Estimated_Savings_USD,Missing_Inputs
Iron Mountain VA-1,USA,Manassas,VA,Iron Mountain,,60,38.791,-77.5095,,Active,,,,,,,,,,,,,,,,
CoreSite VA1,USA,Reston,VA,CoreSite,,12,38.9572,-77.3581,,Active,,,,,,,,,,,,,,,,
CoreSite VA2,USA,Reston,VA,CoreSite,,18,38.9569,-77.3578,,Active,,,,,,,,,,,,,,,,
CoreSite VA3,USA,Reston,VA,CoreSite,,30,38.9561,-77.3567,,Active,,,,,,,,,,,,,,,,
QTS Ashburn DC1,USA,Ashburn,VA,QTS,,72,39.0088,-77.4612,,Active,,,,,,,,,,,,,,,,
QTS Manassas DC1,USA,Manassas,VA,QTS,,36,38.7485,-77.4812,,Active,,,,,,,,,,,,,,,,
CyrusOne Sterling I,USA,Sterling,VA,CyrusOne,,30,39.0161,-77.4161,,Active,,,,,,,,,,,,,,,,
CyrusOne Sterling II,USA,Sterling,VA,CyrusOne,,30,39.0152,-77.4134,,Active,,,,,,,,,,,,,,,,
Sabey Ashburn SDC1,USA,Ashburn,VA,Sabey,,36,39.0039,-77.4739,,Construction,,,,,,,,,,,,,,,,
DataBank IAD1,USA,Ashburn,VA,DataBank,,6,39.0231,-77.4661,,Active,,,,,,,,,,,,,,,,
EdgeConneX EDCIAD01,USA,Herndon,VA,EdgeConneX,,8,38.9792,-77.3833,,Active,,,,,,,,,,,,,,,,
Vantage VA11,USA,Ashburn,VA,Vantage,,48,39.0332,-77.4903,,Active,,,,,,,,,,,,,,,,
Vantage VA12,USA,Ashburn,VA,Vantage,,48,39.0335,-77.4905,,Active,,,,,,,,,,,,,,,,
Equinix FR1,Germany,Frankfurt,Hesse,Equinix,,6,50.0999,8.6731,,Active,,,,,,,,,,,,,,,,
Equinix FR2,Germany,Frankfurt,Hesse,Equinix,,8,50.092,8.6419,,Active,,,,,,,,,,,,,,,,
Equinix FR4,Germany,Frankfurt,Hesse,Equinix,,15,50.0972,8.6256,,Active,,,,,,,,,,,,,,,,
Equinix FR5,Germany,Frankfurt,Hesse,Equinix,,12,50.0988,8.6259,,Active,,,,,,,,,,,,,,,,
Equinix FR6,Germany,Frankfurt,Hesse,Equinix,,10,50.0825,8.5541,,Active,,,,,,,,,,,,,,,,
Equinix FR7,Germany,Frankfurt,Hesse,Equinix,,20,50.1005,8.6531,,Active,,,,,,,,,,,,,,,,
Equinix FR8,Germany,Frankfurt,Hesse,Equinix,,10,50.0975,8.6253,,Active,,,,,,,,,,,,,,,,
Equinix FR9x,Germany,Frankfurt,Hesse,Equinix,,40,50.1345,8.6843,,Active,,,,,,,,,,,,,,,,
Equinix FR11x,Germany,Frankfurt,Hesse,Equinix,,30,50.1348,8.6849,,Active,,,,,,,,,,,,,,,,
Digital Realty FRA10,Germany,Frankfurt,Hesse,Digital Realty,,18,50.1189,8.7088,,Active,,,,,,,,,,,,,,,,
Digital Realty FRA16,Germany,Frankfurt,Hesse,Digital Realty,,18,50.1194,8.7081,,Active,,,,,,,,,,,,,,,,
Digital Realty FRA17,Germany,Frankfurt,Hesse,Digital Realty,,22,50.1195,8.7077,,Active,,,,,,,,,,,,,,,,
Digital Realty FRA32,Germany,Frankfurt,Hesse,Digital Realty,,30,50.0843,8.5512,,Active,,,,,,,,,,,,,,,,
NTT Frankfurt 1,Germany,Frankfurt,Hesse,NTT Data,,25,50.1422,8.5882,,Active,,,,,,,,,,,,,,,,
NTT Frankfurt 2,Germany,Frankfurt,Hesse,NTT Data,,20,50.119,8.7075,,Active,,,,,,,,,,,,,,,,
NTT Frankfurt 3,Germany,Frankfurt,Hesse,NTT Data,,18,50.1425,8.5879,,Active,,,,,,,,,,,,,,,,
NTT Frankfurt 4,Germany,Frankfurt,Hesse,NTT Data,,30,50.1429,8.5885,,Active,,,,,,,,,,,,,,,,
Telehouse Frankfurt,Germany,Frankfurt,Hesse,Telehouse,,8,50.0991,8.6254,,Active,,,,,,,,,,,,,,,,
Maincubes FRA01,Germany,Offenbach,Hesse,Maincubes,,8,50.1003,8.7622,,Active,,,,,,,,,,,,,,,,
Maincubes FRA02,Germany,Schwalbach,Hesse,Maincubes,,12,50.1505,8.5408,,Active,,,,,,,,,,,,,,,,
Maincubes FRA03,Germany,Schwalbach,Hesse,Maincubes,,16,50.151,8.5411,,Active,,,,,,,,,,,,,,,,
ITENOS Frankfurt Eschborn,Germany,Eschborn,Hesse,ITENOS,,6,50.1428,8.5689,,Active,,,,,,,,,,,,,,,,
AWS FRA54,Germany,Frankfurt,Hesse,Amazon Web Services,,20,50.1426,8.5876,,Active,,,,,,,,,,,,,,,,
Microsoft FRA29,Germany,Frankfurt,Hesse,Microsoft,,24,50.1288,8.5719,,Active,,,,,,,,,,,,,,,,
Vantage FRA11,Germany,Offenbach,Hesse,Vantage,,24,50.1009,8.7615,,Active,,,,,,,,,,,,,,,,
CyrusOne FRA1,Germany,Frankfurt,Hesse,CyrusOne,,20,50.118,8.7211,,Active,,,,,,,,,,,,,,,,
CyrusOne FRA2,Germany,Frankfurt,Hesse,CyrusOne,,24,50.1185,8.7216,,Construction,,,,,,,,,,,,,,,,
Equinix DB1,Ireland,Dublin,Leinster,Equinix,,6,53.2942,-6.4028,,Active,,,,,,,,,,,,,,,,
Equinix DB2,Ireland,Dublin,Leinster,Equinix,,8,53.3333,-6.4378,,Active,,,,,,,,,,,,,,,,
Equinix DB4,Ireland,Dublin,Leinster,Equinix,,10,53.3911,-6.3812,,Active,,,,,,,,,,,,,,,,
Equinix DB5x,Ireland,Dublin,Leinster,Equinix,,30,53.3925,-6.3805,,Active,,,,,,,,,,,,,,,,
Equinix DB6x,Ireland,Dublin,Leinster,Equinix,,36,53.3929,-6.3801,,Construction,,,,,,,,,,,,,,,,
Digital Realty DUB4,Ireland,Dublin,Leinster,Digital Realty,,14,53.3258,-6.4498,,Active,,,,,,,,,,,,,,,,
Digital Realty DUB9,Ireland,Dublin,Leinster,Digital Realty,,18,53.3267,-6.4508,,Active,,,,,,,,,,,,,,,,
Digital Realty DUB12,Ireland,Dublin,Leinster,Digital Realty,,20,53.3273,-6.4515,,Active,,,,,,,,,,,,,,,,
Digital Realty DUB15,Ireland,Dublin,Leinster,Digital Realty,,24,53.3281,-6.452,,Active,,,,,,,,,,,,,,,,
AWS Dublin 1,Ireland,Dublin,Leinster,Amazon Web Services,,30,53.3897,-6.2265,,Active,,,,,,,,,,,,,,,,
AWS Dublin 2,Ireland,Dublin,Leinster,Amazon Web Services,,30,53.3891,-6.2261,,Active,,,,,,,,,,,,,,,,
AWS Dublin 3,Ireland,Dublin,Leinster,Amazon Web Services,,36,53.3918,-6.3781,,Active,,,,,,,,,,,,,,,,
Microsoft DUB05,Ireland,Dublin,Leinster,Microsoft,,27,53.3288,-6.4521,,Active,,,,,,,,,,,,,,,,
Microsoft DUB06,Ireland,Dublin,Leinster,Microsoft,,27,53.3291,-6.4525,,Active,,,,,,,,,,,,,,,,
Microsoft DUB07,Ireland,Dublin,Leinster,Microsoft,,30,53.3294,-6.4528,,Active,,,,,,,,,,,,,,,,
Microsoft DUB08,Ireland,Dublin,Leinster,Microsoft,,30,53.3297,-6.4532,,Active,,,,,,,,,,,,,,,,
Microsoft DUB14,Ireland,Dublin,Leinster,Microsoft,,36,53.3301,-6.4538,,Active,,,,,,,,,,,,,,,,
Google Dublin 1,Ireland,Dublin,Leinster,Google,,30,53.3278,-6.4537,,Active,,,,,,,,,,,,,,,,
Google Dublin 2,Ireland,Dublin,Leinster,Google,,60,53.3282,-6.4542,,Active,,,,,,,,,,,,,,,,
CyrusOne DUB2,Ireland,Dublin,Leinster,CyrusOne,,24,53.3285,-6.4556,,Active,,,,,,,,,,,,,,,,
CyrusOne DUB3,Ireland,Dublin,Leinster,CyrusOne,,26,53.3291,-6.4561,,Active,,,,,,,,,,,,,,,,
Echelon DUB10,Ireland,Dublin,Leinster,Echelon,,90,53.3215,-6.3972,,Construction,,,,,,,,,,,,,,,,
Echelon DUB20,Ireland,Arklow,Leinster,Echelon,,100,52.7935,-6.1518,,Construction,,,,,,,,,,,,,,,,
Keppel DC Dublin 2,Ireland,Dublin,Leinster,Keppel,,8,53.2939,-6.4035,,Active,,,,,,,,,,,,,,,,
EdgeConneX EDCDUB01,Ireland,Dublin,Leinster,EdgeConneX,,24,53.3891,-6.2269,,Active,,,,,,,,,,,,,,,,
Servecentric Dublin,Ireland,Dublin,Leinster,Servecentric,,3,53.3897,-6.3792,,Active,,,,,,,,,,,,,,,,
Vantage DUB1,Ireland,Dublin,Leinster,Vantage,,52,53.3285,-6.4569,,Construction,,,,,,,,,,,,,,,,
Equinix TY2,Japan,Tokyo,Tokyo,Equinix,,5,35.6283,139.7392,,Active,,,,,,,,,,,,,,,,
Equinix TY4,Japan,Tokyo,Tokyo,Equinix,,6,35.6287,139.7388,,Active,,,,,,,,,,,,,,,,
Equinix TY5,Japan,Tokyo,Tokyo,Equinix,,7,35.6295,139.7384,,Active,,,,,,,,,,,,,,,,
Equinix TY6,Japan,Tokyo,Tokyo,Equinix,,8,35.652,139.7945,,Active,,,,,,,,,,,,,,,,
Equinix TY8,Japan,Tokyo,Tokyo,Equinix,,10,35.6181,139.7414,,Active,,,,,,,,,,,,,,,,
Equinix TY11,Japan,Tokyo,Tokyo,Equinix,,18,35.6348,139.7952,,Active,,,,,,,,,,,,,,,,
Equinix TY12x,Japan,Inzai,Chiba,Equinix,,54,35.7802,140.1688,,Active,,,,,,,,,,,,,,,,
Telehouse Koto 1,Japan,Tokyo,Tokyo,KDDI,,6,35.6538,139.7968,,Active,,,,,,,,,,,,,,,,
Telehouse Koto 2,Japan,Tokyo,Tokyo,KDDI,,8,35.6541,139.797,,Active,,,,,,,,,,,,,,,,
Telehouse Tama 3,Japan,Tama,Tokyo,KDDI,,12,35.6245,139.4432,,Active,,,,,,,,,,,,,,,,
Telehouse Tama 5,Japan,Tama,Tokyo,KDDI,,24,35.6258,139.4472,,Active,,,,,,,,,,,,,,,,
NTT Tokyo 1,Japan,Tokyo,Tokyo,NTT Data,,15,35.6874,139.769,,Active,,,,,,,,,,,,,,,,
NTT Tokyo 2,Japan,Tokyo,Tokyo,NTT Data,,18,35.6441,139.7968,,Active,,,,,,,,,,,,,,,,
NTT Tokyo 5,Japan,Mitaka,Tokyo,NTT Data,,20,35.6828,139.5593,,Active,,,,,,,,,,,,,,,,
NTT Tokyo 10,Japan,Mitaka,Tokyo,NTT Data,,25,35.6832,139.5596,,Active,,,,,,,,,,,,,,,,
NTT Tokyo 11,Japan,Inzai,Chiba,NTT Data,,50,35.7818,140.1701,,Construction,,,,,,,,,,,,,,,,
NTT Tokyo 12,Japan,Inzai,Chiba,NTT Data,,200,35.7825,140.1715,,Planned,,,,,,,,,,,,,,,,
Colt Inzai 1,Japan,Inzai,Chiba,Colt,,8,35.7781,140.1655,,Active,,,,,,,,,,,,,,,,
Colt Inzai 2,Japan,Inzai,Chiba,Colt,,15,35.7785,140.1661,,Active,,,,,,,,,,,,,,,,
Colt Inzai 3,Japan,Inzai,Chiba,Colt,,27,35.7789,140.1668,,Active,,,,,,,,,,,,,,,,
Colt Inzai 4,Japan,Inzai,Chiba,Colt,,20,35.7793,140.1674,,Construction,,,,,,,,,,,,,,,,
Digital Realty NRT10,Japan,Inzai,Chiba,Digital Realty,,26,35.781,140.1695,,Active,,,,,,,,,,,,,,,,
Digital Realty NRT12,Japan,Inzai,Chiba,Digital Realty,,36,35.7814,140.1698,,Active,,,,,,,,,,,,,,,,
Digital Realty NRT14,Japan,Inzai,Chiba,Digital Realty,,38,35.7819,140.1702,,Construction,,,,,,,,,,,,,,,,
AT TOKYO CC1,Japan,Tokyo,Tokyo,AT TOKYO,,12,35.6549,139.7958,,Active,,,,,,,,,,,,,,,,
AT TOKYO CC2,Japan,Tokyo,Tokyo,AT TOKYO,,14,35.6551,139.796,,Active,,,,,,,,,,,,,,,,
IIJ Shiroi DC Campus,Japan,Shiroi,Chiba,IIJ,,40,35.7903,140.0549,,Active,,,,,,,,,,,,,,,,
AirTrunk SYD1,Australia,Huntingwood,NSW,AirTrunk,,130,-33.7799,150.8628,,Active,,,,,,,,,,,,,,,,
AirTrunk SYD2,Australia,Lane Cove West,NSW,AirTrunk,,120,-33.8149,151.153,,Active,,,,,,,,,,,,,,,,
AirTrunk SYD3,Australia,Huntingwood,NSW,AirTrunk,,110,-33.7789,150.8645,,Active,,,,,,,,,,,,,,,,
NEXTDC S1,Australia,Macquarie Park,NSW,NEXTDC,,16,-33.7785,151.1309,,Active,,,,,,,,,,,,,,,,
NEXTDC S2,Australia,Macquarie Park,NSW,NEXTDC,,30,-33.7782,151.1305,,Active,,,,,,,,,,,,,,,,
NEXTDC S3,Australia,Artarmon,NSW,NEXTDC,,80,-33.8095,151.1862,,Active,,,,,,,,,,,,,,,,
NEXTDC S4,Australia,Horsley Park,NSW,NEXTDC,,350,-33.841,150.8529,,Construction,,,,,,,,,,,,,,,,
NEXTDC S5,Australia,Macquarie Park,NSW,NEXTDC,,80,-33.7794,151.1302,,Construction,,,,,,,,,,,,,,,,
NEXTDC S6,Australia,Artarmon,NSW,NEXTDC,,13,-33.8101,151.1858,,Active,,,,,,,,,,,,,,,,
NEXTDC S7,Australia,Eastern Creek,NSW,NEXTDC,,550,-33.8028,150.8513,,Planned,,,,,,,,,,,,,,,,
Equinix SY1,Australia,Mascot,NSW,Equinix,,8,-33.9265,151.1854,,Active,,,,,,,,,,,,,,,,
Equinix SY2,Australia,Mascot,NSW,Equinix,,10,-33.9268,151.1858,,Active,,,,,,,,,,,,,,,,
Equinix SY3,Australia,Alexandria,NSW,Equinix,,12,-33.9175,151.1919,,Active,,,,,,,,,,,,,,,,
Equinix SY4,Australia,Mascot,NSW,Equinix,,14,-33.9271,151.1862,,Active,,,,,,,,,,,,,,,,
Equinix SY5,Australia,Alexandria,NSW,Equinix,,18,-33.9167,151.1925,,Active,,,,,,,,,,,,,,,,
Equinix SY6,Australia,Silverwater,NSW,Equinix,,10,-33.8251,151.053,,Active,,,,,,,,,,,,,,,,
Equinix SY9x,Australia,Rosehill,NSW,Equinix,,40,-33.8268,151.0242,,Active,,,,,,,,,,,,,,,,
Digital Realty SYD10,Australia,Erskine Park,NSW,Digital Realty,,20,-33.8152,150.807,,Active,,,,,,,,,,,,,,,,
Digital Realty SYD11,Australia,Erskine Park,NSW,Digital Realty,,32,-33.8159,150.8078,,Active,,,,,,,,,,,,,,,,
Macquarie IC3,Australia,Macquarie Park,NSW,Macquarie Data Centres,,18,-33.7775,151.1278,,Active,,,,,,,,,,,,,,,,
Macquarie IC2,Australia,Macquarie Park,NSW,Macquarie Data Centres,,10,-33.778,151.1283,,Active,,,,,,,,,,,,,,,,
Global Switch Sydney East,Australia,Ultimo,NSW,Global Switch,,36,-33.881,151.199,,Active,,,,,,,,,,,,,,,,
Global Switch Sydney West,Australia,Ultimo,NSW,Global Switch,,52,-33.8815,151.1994,,Active,,,,,,,,,,,,,,,,
CDC Eastern Creek 1,Australia,Eastern Creek,NSW,CDC,,21,-33.8012,150.8639,,Active,,,,,,,,,,,,,,,,
CDC Eastern Creek 2,Australia,Eastern Creek,NSW,CDC,,28,-33.8017,150.8645,,Active,,,,,,,,,,,,,,,,
DCI SYD02,Australia,Eastern Creek,NSW,DCI Data Centers,,16,-33.8038,150.8629,,Active,,,,,,,,,,,,,,,,
YTL Sydney,Australia,Auburn,NSW,YTL,,30,-33.8481,151.0352,,Construction,,,,,,,,,,,,,,,,
QTS PHX1,USA,Phoenix,AZ,QTS,,24,33.4378,-112.1421,,Active,,,,,,,,,,,,,,,,
QTS PHX2,USA,Phoenix,AZ,QTS,,30,33.4381,-112.1425,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX1,USA,Chandler,AZ,CyrusOne,,15,33.3074,-111.9752,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX2,USA,Chandler,AZ,CyrusOne,,15,33.3078,-111.9756,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX3,USA,Chandler,AZ,CyrusOne,,18,33.3082,-111.976,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX4,USA,Chandler,AZ,CyrusOne,,18,33.3086,-111.9764,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX5,USA,Chandler,AZ,CyrusOne,,20,33.309,-111.9768,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX6,USA,Chandler,AZ,CyrusOne,,24,33.3094,-111.9772,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX7,USA,Chandler,AZ,CyrusOne,,24,33.3098,-111.9776,,Active,,,,,,,,,,,,,,,,
CyrusOne PHX8,USA,Chandler,AZ,CyrusOne,,30,33.3102,-111.978,,Active,,,,,,,,,,,,,,,,
CyrusOne Mesa,USA,Mesa,AZ,CyrusOne,,198,33.3462,-111.689,,Construction,,,,,,,,,,,,,,,,
Iron Mountain AZP-1,USA,Phoenix,AZ,Iron Mountain,,12,33.4485,-112.074,,Active,,,,,,,,,,,,,,,,
Iron Mountain AZP-2,USA,Phoenix,AZ,Iron Mountain,,18,33.4492,-112.0748,,Active,,,,,,,,,,,,,,,,
Iron Mountain AZS-1,USA,Scottsdale,AZ,Iron Mountain,,10,33.5795,-111.8895,,Active,,,,,,,,,,,,,,,,
Aligned PHX-01,USA,Phoenix,AZ,Aligned,,30,33.6532,-112.1128,,Active,,,,,,,,,,,,,,,,
Aligned PHX-02,USA,Phoenix,AZ,Aligned,,48,33.6535,-112.1132,,Active,,,,,,,,,,,,,,,,
EdgeConneX PHX01,USA,Tempe,AZ,EdgeConneX,,8,33.3935,-111.9663,,Active,,,,,,,,,,,,,,,,
Digital Realty PHX10,USA,Phoenix,AZ,Digital Realty,,22,33.4524,-112.0731,,Active,,,,,,,,,,,,,,,,
Digital Realty PHX11,USA,Mesa,AZ,Digital Realty,,36,33.3471,-111.6861,,Active,,,,,,,,,,,,,,,,
Vantage AZ11,USA,Goodyear,AZ,Vantage,,16,33.4551,-112.3575,,Active,,,,,,,,,,,,,,,,
Vantage AZ12,USA,Goodyear,AZ,Vantage,,32,33.4555,-112.3579,,Active,,,,,,,,,,,,,,,,
Vantage AZ13,USA,Goodyear,AZ,Vantage,,32,33.4559,-112.3583,,Active,,,,,,,,,,,,,,,,
Vantage AZ14,USA,Goodyear,AZ,Vantage,,48,33.4563,-112.3587,,Construction,,,,,,,,,,,,,,,,
PhoenixNAP Phoenix,USA,Phoenix,AZ,PhoenixNAP,,15,33.4219,-111.9901,,Active,,,,,,,,,,,,,,,,
H5 Phoenix,USA,Chandler,AZ,H5,,16,33.2885,-111.8941,,Active,,,,,,,,,,,,,,,,
Stream Goodyear,USA,Goodyear,AZ,Stream Data Centers,,48,33.4672,-112.3681,,Active,,,,,,,,,,,,,,,,
NTT PH1,USA,Mesa,AZ,NTT Data,,36,33.3481,-111.6878,,Active,,,,,,,,,,,,,,,,
Compass Mesa,USA,Mesa,AZ,Compass Datacenters,,48,33.3495,-111.6842,,Construction,,,,,,,,,,,,,,,,
Equinix SK1,Sweden,Bromma,Stockholm,Equinix,,5,59.3538,17.9611,,Active,,,,,,,,,,,,,,,,
Equinix SK3,Sweden,Spånga,Stockholm,Equinix,,6,59.3862,17.8881,,Active,,,,,,,,,,,,,,,,
Digital Realty STO5,Sweden,Kista,Stockholm,Digital Realty,,8,59.4038,17.9481,,Active,,,,,,,,,,,,,,,,
Digital Realty STO6,Sweden,Kista,Stockholm,Digital Realty,,12,59.4042,17.9488,,Active,,,,,,,,,,,,,,,,
atNorth SWE02,Sweden,Kista,Stockholm,atNorth,,30,59.4022,17.9488,,Construction,,,,,,,,,,,,,,,,
EcoDataCenter Falun,Sweden,Falun,,EcoDataCenter,,90,60.6028,15.6328,,Active,,,,,,,,,,,,,,,,
EcoDataCenter Horndal,Sweden,Horndal,,EcoDataCenter,,75,60.2952,16.4285,,Active,,,,,,,,,,,,,,,,
EcoDataCenter Stockholm,Sweden,Stockholm,Stockholm,EcoDataCenter,,5,59.3358,18.0632,,Active,,,,,,,,,,,,,,,,
Bahnhof Pionen,Sweden,Stockholm,Stockholm,Bahnhof,,4,59.3135,18.0682,,Active,,,,,,,,,,,,,,,,
Bahnhof Thule,Sweden,Stockholm,Stockholm,Bahnhof,,3,59.3395,18.0425,,Active,,,,,,,,,,,,,,,,
Multigrid Falun,Sweden,Falun,,Multigrid,,150,60.6005,15.6301,,Construction,,,,,,,,,,,,,,,,
Meta Luleå,Sweden,Luleå,,Meta,,120,65.6183,22.1306,,Active,,,,,,,,,,,,,,,,
Microsoft Gävle,Sweden,Gävle,,Microsoft,,60,60.6745,17.1413,,Active,,,,,,,,,,,,,,,,
Microsoft Sandviken,Sweden,Sandviken,,Microsoft,,40,60.6166,16.772,,Active,,,,,,,,,,,,,,,,
DigiPlex Oslo Ulven DNAS,Norway,Oslo,Oslo,DigiPlex,,15,59.9275,10.8225,,Active,,,,,,,,,,,,,,,,
DigiPlex Oslo Rosenholm DRAS,Norway,Oslo,Oslo,DigiPlex,,18,59.8278,10.7925,,Active,,,,,,,,,,,,,,,,
DigiPlex Fetsund,Norway,Fetsund,Oslo,DigiPlex,,20,59.9267,11.1685,,Active,,,,,,,,,,,,,,,,
Green Mountain OSL1 Rjukan,Norway,Rjukan,,Green Mountain,,35,59.8745,8.5915,,Active,,,,,,,,,,,,,,,,
Green Mountain OSL2 Hamar,Norway,Hamar,,Green Mountain,,30,60.8138,11.0892,,Active,,,,,,,,,,,,,,,,
Green Mountain DC1 Stavanger,Norway,Rennesøy,,Green Mountain,,45,59.0782,5.7648,,Active,,,,,,,,,,,,,,,,
Equinix HE1,Finland,Helsinki,,Equinix,,6,60.2215,24.8631,,Active,,,,,,,,,,,,,,,,
Equinix HE3,Finland,Helsinki,,Equinix,,5,60.1918,24.9518,,Active,,,,,,,,,,,,,,,,
Equinix HE5,Finland,Helsinki,,Equinix,,8,60.2155,24.9055,,Active,,,,,,,,,,,,,,,,
Equinix HE6,Finland,Espoo,,Equinix,,10,60.1799,24.7638,,Active,,,,,,,,,,,,,,,,
Equinix HE7,Finland,Espoo,,Equinix,,15,60.1805,24.7649,,Active,,,,,,,,,,,,,,,,
atNorth FIN02,Finland,Espoo,,atNorth,,12,60.1805,24.7635,,Active,,,,,,,,,,,,,,,,
atNorth FIN03,Finland,Espoo,,atNorth,,18,60.2068,24.7735,,Active,,,,,,,,,,,,,,,,
Verne Finland,Finland,Vantaa,,Verne,,12,60.2966,25.0395,,Active,,,,,,,,,,,,,,,,
